Yukari,Normal,-1,1,ゆかり,…この部屋が最後の部屋でしょうか？
Akari,Normal,1,-1,あかり,ゆかりさん！！
Yukari,Normal,-1,1,ゆかり,あかりちゃん！？
Yukari,Normal,-1,1,ゆかり,どうしてここに…？もしかしてあの招待状はあかりちゃんが…？
Akari,Normal,1,-1,あかり,えへへ、驚きましたか！？ なんとあの招待状は私のハロウィンパーティへの招待状だったのです！
Yukari,Normal,-1,1,ゆかり,な、なんだってー
Yukari,Normal,-1,1,ゆかり,…え、2人でやるんですか？
Akari,Normal,1,-1,あかり,それは…えっと、一応みんなに出したんですが…おかしいですね、時間は書いてあったはずですがまだゆかりさんだけみたいです…
Yukari,Normal,-1,1,ゆかり,…あの招待状じゃあみんな来ないと思いますよ、雰囲気も怪しい上に差出人不明じゃあ…
Akari,Normal,1,-1,あかり,え！？私の名前書いてありませんでしたか？流石に誰からの招待状かわからないとまずいと思って名前書いたはずなんですが、そんな…忘れてたなんて…
Akari,Normal,1,-1,あかり,どうしよう…お菓子もたくさん用意して、こんなお屋敷まで借りたのに…
Yukari,Normal,-1,1,ゆかり,…まあ、
Yukari,Normal,-1,1,ゆかり,このまま2人で楽しむのも悪くないですけどね、 せっかくなので今からみんなのお家に行きませんか？
Akari,Normal,1,-1,あかり,え、今からですか？
Yukari,Normal,-1,1,ゆかり,ええ、それでお菓子を配って歩くんです。 ついでにイタズラしていくのもいいかもしれませんね。
Akari,Normal,1,-1,あかり,あはは、それじゃあべこべじゃないですか。
Yukari,Normal,-1,1,ゆかり,いいんですよ、こういうのは楽しい方がいいじゃないですか。
Yukari,Normal,-1,1,ゆかり,せっかくですから仮装もしていきましょうか。この仮装グッズもあかりちゃんが用意したんですか？
Akari,Normal,1,-1,あかり,ええ…ゆかりさん、ありがとうございます。
Yukari,Normal,-1,1,ゆかり,ふふ、いいんですよ。ほら、それじゃあ行きましょうか！
